pre_left_L,pre_left_a,pre_left_b,pre_right_L,pre_right_a,pre_right_b,post_left_0_L,post_left_0_a,post_left_0_b,post_right_0_L,post_right_0_a,post_right_0_b
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,0,2,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,4,0,0,4,0,0
3,0,0,3,0,0,3,0,0,3,0,0
3,0,0,3,0,0,3,0,0,3,0,0
2,0,0,2,0,0,2,0,0,2,0,0
6,0,0,6,0,0,6,0,0,6,0,0
14,0,0,14,0,0,14,0,0,14,0,0
13,0,0,13,0,0,13,0,0,13,0,0
27,0,0,27,0,0,27,0,0,27,0,0
17,0,0,17,0,0,17,0,0,17,0,0
49,0,0,49,0,0,49,0,0,49,0,0
105,0,0,105,0,0,105,0,0,105,0,0
144,0,0,144,0,0,144,0,0,144,0,0
7382,0,0,7382,0,0,7382,0,0,7382,0,0
3173,0,0,3173,0,0,3173,0,0,3173,0,0
3376,0,0,3376,0,0,3376,0,0,3376,0,0
19834,0,0,19834,0,0,19834,0,0,19834,0,0
1423,0,0,1423,0,0,1423,0,0,1423,0,0
2405,0,0,2405,0,0,2405,0,0,2405,0,0
5749,0,0,5749,0,0,5749,0,0,5749,0,0
5958,0,0,5958,0,0,5958,0,0,5958,0,0
3099,0,0,3099,0,0,3099,0,0,3099,0,0
3178,0,0,3178,0,0,3178,0,0,3178,0,0
2787,0,0,2787,0,0,2787,0,0,2787,0,0
9723,0,0,9723,0,0,9723,0,0,9723,0,0
5377,0,0,5377,0,0,5377,0,0,5377,0,0
5991,0,0,5991,0,0,5991,0,0,5991,0,0
3262,0,0,3262,0,0,3262,0,0,3262,0,0
3758,0,0,3758,0,0,3758,0,0,3758,0,0
11104,0,0,11104,0,0,11104,0,0,11104,0,0
5337,0,0,5337,0,0,5337,0,0,5337,0,0
4348,0,0,4348,0,0,4348,0,0,4348,0,0
4702,0,0,4702,0,0,4702,0,0,4702,0,0
6222,0,0,6222,0,0,6222,0,0,6222,0,0
4146,0,0,4146,0,0,4146,0,0,4146,0,0
5795,0,0,5795,0,0,5795,0,0,5795,0,0
3058,0,0,3058,0,0,3058,0,0,3058,0,0
2140,0,0,2140,0,0,2140,0,0,2140,0,0
2866,0,0,2866,0,0,2866,0,0,2866,0,0
3919,0,5,3919,0,5,3919,0,5,3919,0,5
4321,0,23,4321,0,23,4321,0,23,4321,0,23
3835,0,76,3835,0,76,3835,0,76,3835,0,76
2029,0,189,2029,0,189,2029,0,189,2029,0,189
1241,0,328,1241,0,328,1241,0,328,1241,0,328
1314,0,744,1314,0,744,1314,0,744,1314,0,744
349,0,980,349,0,980,349,0,980,349,0,980
161,0,7276,161,0,7276,161,0,7276,161,0,7276
78,0,15174,78,0,15174,78,0,15174,78,0,15174
46,0,32354,46,0,32354,46,0,32354,46,0,32354
46,0,15601,46,0,15601,46,0,15601,46,0,15601
37,0,21889,37,0,21889,37,0,21889,37,0,21889
25,0,17921,25,0,17921,25,0,17921,25,0,17921
20,0,26336,20,0,26336,20,0,26336,20,0,26336
14,0,11996,14,0,11996,14,0,11996,14,0,11996
90,0,646,90,0,646,90,0,646,90,0,646
14,0,541,14,0,541,14,0,541,14,0,541
7,0,560,7,0,560,7,0,560,7,0,560
10,0,630,10,0,630,10,0,630,10,0,630
8,0,394,8,0,394,8,0,394,8,0,394
10,0,260,10,0,260,10,0,260,10,0,260
11,0,285,11,0,285,11,0,285,11,0,285
8,0,109,8,0,109,8,0,109,8,0,109
10,0,138,10,0,138,10,0,138,10,0,138
11,0,70,11,0,70,11,0,70,11,0,70
11,0,216,11,0,216,11,0,216,11,0,216
7,0,83,7,0,83,7,0,83,7,0,83
7,1,220,7,1,220,7,1,220,7,1,220
5,1,201,5,1,201,5,1,201,5,1,201
7,7,242,7,7,242,7,7,242,7,7,242
20,25,92,20,25,92,20,25,92,20,25,92
39,50,547,39,50,547,39,50,547,39,50,547
8,91,98,8,91,98,8,91,98,8,91,98
7,147,153,7,147,153,7,147,153,7,147,153
12,332,134,12,332,134,12,332,134,12,332,134
7,702,452,7,702,452,7,702,452,7,702,452
4,1696,452,4,1696,452,4,1696,452,4,1696,452
10,2897,859,10,2897,859,10,2897,859,10,2897,859
13,754829,750093,13,754829,750093,13,754829,750093,13,754829,750093
57,19984,563,57,19984,563,57,19984,563,57,19984,563
9,7112,543,9,7112,543,9,7112,543,9,7112,543
55,11286,348,55,11286,348,55,11286,348,55,11286,348
34,13087,172,34,13087,172,34,13087,172,34,13087,172
16,9153,157,16,9153,157,16,9153,157,16,9153,157
10,13178,105,10,13178,105,10,13178,105,10,13178,105
6,8219,91,6,8219,91,6,8219,91,6,8219,91
178,26014,82,178,26014,82,178,26014,82,178,26014,82
14,45468,96,14,45468,96,14,45468,96,14,45468,96
8,54822,89,8,54822,89,8,54822,89,8,54822,89
5,37254,55,5,37254,55,5,37254,55,5,37254,55
10,29703,57,10,29703,57,10,29703,57,10,29703,57
5,10921,53,5,10921,53,5,10921,53,5,10921,53
2,845,46,2,845,46,2,845,46,2,845,46
6,433,61,6,433,61,6,433,61,6,433,61
8,171,114,8,171,114,8,171,114,8,171,114
10,115,213,10,115,213,10,115,213,10,115,213
6,33,59,6,33,59,6,33,59,6,33,59
8,0,37,8,0,37,8,0,37,8,0,37
4,0,19,4,0,19,4,0,19,4,0,19
48,0,20,48,0,20,48,0,20,48,0,20
4,0,12,4,0,12,4,0,12,4,0,12
8,0,14,8,0,14,8,0,14,8,0,14
9,0,14,9,0,14,9,0,14,9,0,14
12,0,10,12,0,10,12,0,10,12,0,10
26,0,16,26,0,16,26,0,16,26,0,16
30,0,21,30,0,21,30,0,21,30,0,21
15,0,7,15,0,7,15,0,7,15,0,7
6,0,17,6,0,17,6,0,17,6,0,17
65,0,8,65,0,8,65,0,8,65,0,8
38,0,8,38,0,8,38,0,8,38,0,8
14,0,8,14,0,8,14,0,8,14,0,8
101,0,9,101,0,9,101,0,9,101,0,9
27,0,8,27,0,8,27,0,8,27,0,8
3,0,14,3,0,14,3,0,14,3,0,14
13,0,14,13,0,14,13,0,14,13,0,14
7,0,6,7,0,6,7,0,6,7,0,6
8,0,11,8,0,11,8,0,11,8,0,11
8,0,11,8,0,11,8,0,11,8,0,11
6,0,18,6,0,18,6,0,18,6,0,18
8,0,39,8,0,39,8,0,39,8,0,39
3,0,85,3,0,85,3,0,85,3,0,85
2,0,43,2,0,43,2,0,43,2,0,43
31,0,68,31,0,68,31,0,68,31,0,68
6,0,39,6,0,39,6,0,39,6,0,39
4,0,19,4,0,19,4,0,19,4,0,19
3,0,21,3,0,21,3,0,21,3,0,21
7,0,20,7,0,20,7,0,20,7,0,20
5,0,25,5,0,25,5,0,25,5,0,25
8,0,22,8,0,22,8,0,22,8,0,22
10,0,27,10,0,27,10,0,27,10,0,27
5,0,65,5,0,65,5,0,65,5,0,65
5,0,62,5,0,62,5,0,62,5,0,62
7,0,28,7,0,28,7,0,28,7,0,28
493,0,28,493,0,28,493,0,28,493,0,28
3,0,42,3,0,42,3,0,42,3,0,42
5,0,34,5,0,34,5,0,34,5,0,34
7,0,37,7,0,37,7,0,37,7,0,37
3,0,89,3,0,89,3,0,89,3,0,89
4,0,90,4,0,90,4,0,90,4,0,90
7,0,129,7,0,129,7,0,129,7,0,129
8,0,50,8,0,50,8,0,50,8,0,50
7,0,121,7,0,121,7,0,121,7,0,121
5,0,61,5,0,61,5,0,61,5,0,61
33,0,95,33,0,95,33,0,95,33,0,95
12,0,131,12,0,131,12,0,131,12,0,131
5,0,68,5,0,68,5,0,68,5,0,68
7,0,80,7,0,80,7,0,80,7,0,80
7,0,110,7,0,110,7,0,110,7,0,110
8,0,395,8,0,395,8,0,395,8,0,395
5,0,303,5,0,303,5,0,303,5,0,303
12,0,661,12,0,661,12,0,661,12,0,661
9,0,878,9,0,878,9,0,878,9,0,878
19,0,10830,19,0,10830,19,0,10830,19,0,10830
102,0,8645,102,0,8645,102,0,8645,102,0,8645
41,0,12713,41,0,12713,41,0,12713,41,0,12713
53,0,16210,53,0,16210,53,0,16210,53,0,16210
109,0,20426,109,0,20426,109,0,20426,109,0,20426
198,0,32102,198,0,32102,198,0,32102,198,0,32102
383,0,29761,383,0,29761,383,0,29761,383,0,29761
942,0,1811,942,0,1811,942,0,1811,942,0,1811
1199,0,459,1199,0,459,1199,0,459,1199,0,459
12546,0,78,12546,0,78,12546,0,78,12546,0,78
2956,0,3,2956,0,3,2956,0,3,2956,0,3
8642,0,0,8642,0,0,8642,0,0,8642,0,0
6457,0,0,6457,0,0,6457,0,0,6457,0,0
7241,0,0,7241,0,0,7241,0,0,7241,0,0
7032,0,0,7032,0,0,7032,0,0,7032,0,0
4834,0,0,4834,0,0,4834,0,0,4834,0,0
7131,0,0,7131,0,0,7131,0,0,7131,0,0
7837,0,0,7837,0,0,7837,0,0,7837,0,0
7043,0,0,7043,0,0,7043,0,0,7043,0,0
6953,0,0,6953,0,0,6953,0,0,6953,0,0
7631,0,0,7631,0,0,7631,0,0,7631,0,0
7568,0,0,7568,0,0,7568,0,0,7568,0,0
4797,0,0,4797,0,0,4797,0,0,4797,0,0
8491,0,0,8491,0,0,8491,0,0,8491,0,0
3710,0,0,3710,0,0,3710,0,0,3710,0,0
6303,0,0,6303,0,0,6303,0,0,6303,0,0
13867,0,0,13867,0,0,13867,0,0,13867,0,0
2820,0,0,2820,0,0,2820,0,0,2820,0,0
400,0,0,400,0,0,400,0,0,400,0,0
124,0,0,124,0,0,124,0,0,124,0,0
124,0,0,124,0,0,124,0,0,124,0,0
47,0,0,47,0,0,47,0,0,47,0,0
38,0,0,38,0,0,38,0,0,38,0,0
31,0,0,31,0,0,31,0,0,31,0,0
26,0,0,26,0,0,26,0,0,26,0,0
35,0,0,35,0,0,35,0,0,35,0,0
32,0,0,32,0,0,32,0,0,32,0,0
99,0,0,99,0,0,99,0,0,99,0,0
35,0,0,35,0,0,35,0,0,35,0,0
72,0,0,72,0,0,72,0,0,72,0,0
61,0,0,61,0,0,61,0,0,61,0,0
32,0,0,32,0,0,32,0,0,32,0,0
63,0,0,63,0,0,63,0,0,63,0,0
51,0,0,51,0,0,51,0,0,51,0,0
138,0,0,138,0,0,138,0,0,138,0,0
282,0,0,282,0,0,282,0,0,282,0,0
331,0,0,331,0,0,331,0,0,331,0,0
268,0,0,268,0,0,268,0,0,268,0,0
190,0,0,190,0,0,190,0,0,190,0,0
364,0,0,364,0,0,364,0,0,364,0,0
416,0,0,416,0,0,416,0,0,416,0,0
632,0,0,632,0,0,632,0,0,632,0,0
1456,0,0,1456,0,0,1456,0,0,1456,0,0
750328,0,0,750328,0,0,750328,0,0,750328,0,0
